413,18480
413,34005
413,74190
413,81962
451,53266
488,32556
781,46364
782,15714
1323,20163
1323,47112
1323,73537
1371,19439
2075,80000
2740,74190
2740,90296
3583,34365
4649,9017
5352,42740
6544,15714
6544,17469
6544,49458
6876,36382
7090,47929
7623,9017
7623,20443
7623,53266
7623,58327
7623,75834
7623,88886
7623,94606
7623,96176
7715,35810
7872,12834
7872,18866
7872,53266
7872,85466
7872,99432
8001,15038
8001,18866
8001,29806
8001,46364
8001,74190
8001,85466
8156,33755
8295,66679
8399,18866
9017,16792
9017,37277
9017,53266
9017,74190
9017,79445
9017,93602
9548,81962
9771,21637
9771,33366
9771,34193
9771,42740
9771,52773
9771,70291
9771,103531
10232,33755
10511,63688
10582,20443
10582,35226
10582,74190
11737,49458
12834,18866
12834,85466
12834,97493
12895,33755
12895,101403
13028,63688
13028,66326
13028,79038
13028,100078
13620,49650
13925,69096
13925,85292
14778,69561
14984,30250
15038,16193
15038,20443
15038,29806
15038,46364
15038,58327
15038,72732
15038,74190
15038,82714
15038,100078
15714,49458
16013,62897
16013,78516
16193,29806
16193,46364
16193,80000
18480,46364
18480,74190
18692,40859
18866,20443
18866,33145
18866,51236
18866,53266
18866,56568
18866,68874
18866,74190
18866,75159
18866,84061
18866,85466
18866,91157
18866,97493
18866,100078
18866,102558
19000,83312
19152,85466
19215,53266
19439,66239
19818,33755
19818,50546
20028,94427
20163,77806
20163,90659
20163,100078
20443,33366
20443,35226
20443,58327
20443,62897
20443,68874
20443,77806
20443,78268
20443,99432
20676,73744
20676,90659
20788,88886
23895,52380
25620,49458
25739,74190
26478,38030
26562,100800
26865,33366
26865,90659
27706,74190
27706,81962
27706,94018
27838,103453
28511,58327
28511,91946
29806,46364
29806,68323
29806,74190
30129,42842
30129,81962
30129,94018
30250,49458
30312,36824
30524,55032
31776,73537
31776,102568
31818,44326
31818,58327
32671,100078
32933,46527
33145,36824
33145,50435
33145,53266
33145,94054
33145,96624
33366,52773
33366,62897
33366,63688
33366,68874
33366,84087
33366,86370
33366,91157
33755,35854
33755,36382
33755,47112
33755,50356
33755,54719
33755,68344
33755,73537
33755,77777
33755,91157
33755,101403
34005,74190
35418,37206
36382,91579
36382,95412
36421,58327
36824,38030
36824,53266
36824,58327
36824,67674
36824,70717
36824,96624
36959,81962
37176,81962
37176,92294
37176,99244
37277,96624
37358,47929
37358,53266
37358,90659
37358,91157
38298,81962
38298,82714
38702,47112
38893,47112
41262,47929
42740,55104
42740,100078
42842,55235
43038,81962
43128,56267
46364,49456
46364,74190
46364,82714
46527,49456
47112,47929
47112,50356
47112,73537
47112,75631
47112,77777
47112,90659
47112,91157
47112,98667
47929,50435
47929,52380
47929,53266
47929,64420
47929,67876
47929,74842
47929,75288
47929,77806
47929,78029
47929,78972
47929,79886
47929,80238
47929,87444
47929,90659
47929,98667
47929,100548
48670,95404
48991,82714
50435,53266
50439,83312
50546,96075
51233,80238
51236,52773
51236,102558
52380,96075
52431,85466
52494,99903
53266,56568
53266,64420
53266,75834
53266,78516
53266,78972
53266,83312
53266,86370
53266,90659
53266,99432
54719,89492
54966,93602
56568,66758
56568,74190
56568,80238
56951,82714
56951,86231
58327,67674
58327,77806
58327,85466
58327,88886
58327,96624
61054,91351
61876,67674
62472,91351
63688,66326
63688,90659
63800,96624
63973,101287
63989,73959
64420,70291
66326,100548
67674,74190
67674,96624
68323,74190
68323,81962
68874,85466
68874,91351
70291,77806
70291,81962
70291,100078
70717,96624
71302,75159
71373,97493
72962,81962
73056,100976
73537,73744
73537,89492
73537,90659
73537,98667
73568,90659
73744,77806
73744,85466
74190,78268
74190,82714
74190,87233
74190,88886
74190,99846
74874,100976
75834,81962
75898,85466
77806,85466
77806,90659
78299,85765
78299,98687
78516,81962
79038,97493
80238,91157
81962,90296
81962,91157
81962,94018
81962,98243
81962,100078
82602,85466
82714,83056
82714,84061
82714,86231
82714,96624
83312,96075
85466,91157
85466,91351
85466,102558
86156,97493
86370,91579
89566,91157
90659,91157
90659,98667
91157,91351
91157,100078
91157,100548
91351,102558
101356,103453
